ioc_12_2,comment
aerodramus infuscatus,Halmahera Swiftlet
aerodramus sororum,Sulawesi Swiftlet
aerodramus ceramensis,Seram Swiftlet
aerodramus hirundinaceus,Mountain Swiftlet
aerodramus spodiopygius,White-rumped Swiftlet
aerodramus terraereginae,Australian Swiftlet
aerodramus brevirostris,Himalayan Swiftlet
aerodramus vulcanorum,Volcano Swiftlet
aerodramus whiteheadi,Whitehead's Swiftlet
aerodramus nuditarsus,Bare-legged Swiftlet
aerodramus orientalis,Mayr's Swiftlet
aerodramus salangana,Mossy-nest Swiftlet
aerodramus vanikorensis,Uniform Swiftlet
aerodramus amelis,Ameline Swiftlet
aerodramus pelewensis,Palau Swiftlet
aerodramus bartschi,Mariana Swiftlet
aerodramus inquietus,Island Swiftlet
aerodramus leucophaeus,Tahiti Swiftlet
aerodramus sawtelli,Atiu Swiftlet
aerodramus ocistus,Marquesan Swiftlet
aerodramus maximus,Black-nest Swiftlet
aerodramus fuciphagus,Edible-nest Swiftlet
aerodramus germani,Germain's Swiftlet
aerodramus papuensis,Three-toed Swiftlet
schoutedenapus myoptilus,Scarce Swift
mearnsia picina,Philippine Spine-tailed Swift
mearnsia novaeguineae,Papuan Spine-tailed Swift
zoonavena grandidieri,Madagascar Spinetail
zoonavena thomensis,Sao Tome Spinetail
zoonavena sylvatica,White-rumped Spinetail
telacanthura ussheri,Mottled Spinetail
telacanthura melanopygia,Black Spinetail
rhaphidura leucopygialis,Silver-rumped Spinetail
rhaphidura sabini,Sabine's Spinetail
neafrapus cassini,Cassin's Spinetail
neafrapus boehmi,Böhm's Spinetail
hirundapus caudacutus,White-throated Needletail
hirundapus cochinchinensis,Silver-backed Needletail
hirundapus giganteus,Brown-backed Needletail
hirundapus celebensis,Purple Needletail
chaetura cinereiventris,Grey-rumped Swift
chaetura spinicaudus,Band-rumped Swift
chaetura martinica,Lesser Antillean Swift
chaetura fumosa,Costa Rican Swift
chaetura egregia,Pale-rumped Swift
chaetura pelagica,Chimney Swift
chaetura vauxi,Vaux's Swift
chaetura chapmani,Chapman's Swift
chaetura andrei,Ashy-tailed Swift
chaetura meridionalis,Sick's Swift
chaetura brachyura,Short-tailed Swift
aeronautes saxatalis,White-throated Swift
aeronautes montivagus,White-tipped Swift
aeronautes andecolus,Andean Swift
tachornis phoenicobia,Antillean Palm Swift
tachornis furcata,Pygmy Palm Swift
tachornis squamata,Fork-tailed Palm Swift
panyptila sanctihieronymi,Great Swallow-tailed Swift
panyptila cayennensis,Lesser Swallow-tailed Swift
cypsiurus parvus,African Palm Swift
cypsiurus gracilis,Malagasy Palm Swift
cypsiurus balasiensis,Asian Palm Swift
tachymarptis melba,Alpine Swift
tachymarptis aequatorialis,Mottled Swift
apus alexandri,Cape Verde Swift
apus apus,Common Swift
apus unicolor,Plain Swift
apus niansae,Nyanza Swift
apus pallidus,Pallid Swift
apus barbatus,African Black Swift
apus balstoni,Malagasy Black Swift
apus sladeniae,Fernando Po Swift
apus berliozi,Forbes-Watson's Swift
apus bradfieldi,Bradfield's Swift
apus pacificus,Pacific Swift
apus salimalii,Salim Ali's Swift
apus leuconyx,Blyth's Swift
apus cooki,Cook's Swift
apus acuticauda,Dark-rumped Swift
apus affinis,Little Swift
apus nipalensis,House Swift
apus horus,Horus Swift
apus caffer,White-rumped Swift
apus batesi,Bates's Swift
topaza pella,Crimson Topaz
topaza pyra,Fiery Topaz
florisuga mellivora,White-necked Jacobin
florisuga fusca,Black Jacobin
eutoxeres aquila,White-tipped Sicklebill
eutoxeres condamini,Buff-tailed Sicklebill
ramphodon naevius,Saw-billed Hermit
glaucis dohrnii,Hook-billed Hermit
glaucis aeneus,Bronzy Hermit
glaucis hirsutus,Rufous-breasted Hermit
threnetes ruckeri,Band-tailed Barbthroat
threnetes leucurus,Pale-tailed Barbthroat
threnetes niger,Sooty Barbthroat
anopetia gounellei,Broad-tipped Hermit
phaethornis squalidus,Dusky-throated Hermit
phaethornis rupurumii,Streak-throated Hermit
phaethornis longuemareus,Little Hermit
phaethornis aethopygus,Tapajos Hermit
phaethornis idaliae,Minute Hermit
phaethornis nattereri,Cinnamon-throated Hermit
phaethornis atrimentalis,Black-throated Hermit
phaethornis striigularis,Stripe-throated Hermit
phaethornis griseogularis,Grey-chinned Hermit
phaethornis ruber,Reddish Hermit
phaethornis stuarti,White-browed Hermit
phaethornis subochraceus,Buff-bellied Hermit
phaethornis augusti,Sooty-capped Hermit
phaethornis pretrei,Planalto Hermit
phaethornis eurynome,Scale-throated Hermit
phaethornis anthophilus,Pale-bellied Hermit
phaethornis hispidus,White-bearded Hermit
phaethornis yaruqui,White-whiskered Hermit
phaethornis guy,Green Hermit
phaethornis syrmatophorus,Tawny-bellied Hermit
phaethornis koepckeae,Koepcke's Hermit
phaethornis philippii,Needle-billed Hermit
phaethornis bourcieri,Straight-billed Hermit
phaethornis mexicanus,Mexican Hermit
phaethornis longirostris,Long-billed Hermit
phaethornis superciliosus,Long-tailed Hermit
phaethornis malaris,Great-billed Hermit
doryfera ludovicae,Green-fronted Lancebill
doryfera johannae,Blue-fronted Lancebill
schistes albogularis,White-throated Daggerbill
schistes geoffroyi,Geoffroy's Daggerbill
augastes scutatus,Hyacinth Visorbearer
augastes lumachella,Hooded Visorbearer
colibri delphinae,Brown Violetear
colibri thalassinus,Mexican Violetear
colibri cyanotus,Lesser Violetear
colibri coruscans,Sparkling Violetear
colibri serrirostris,White-vented Violetear
androdon aequatorialis,Tooth-billed Hummingbird
heliactin bilophus,Horned Sungem
heliothryx barroti,Purple-crowned Fairy
heliothryx auritus,Black-eared Fairy
polytmus guainumbi,White-tailed Goldenthroat
polytmus milleri,Tepui Goldenthroat
polytmus theresiae,Green-tailed Goldenthroat
avocettula recurvirostris,Fiery-tailed Awlbill
chrysolampis mosquitus,Ruby-topaz Hummingbird
anthracothorax mango,Jamaican Mango
anthracothorax nigricollis,Black-throated Mango
anthracothorax viridigula,Green-throated Mango
anthracothorax prevostii,Green-breasted Mango
anthracothorax veraguensis,Veraguan Mango
anthracothorax dominicus,Hispaniolan Mango
anthracothorax aurulentus,Puerto Rican Mango
anthracothorax viridis,Green Mango
eulampis holosericeus,Green-throated Carib
eulampis jugularis,Purple-throated Carib
heliangelus mavors,Orange-throated Sunangel
heliangelus amethysticollis,Amethyst-throated Sunangel
heliangelus clarisse,Longuemare's Sunangel
heliangelus spencei,Merida Sunangel
heliangelus strophianus,Gorgeted Sunangel
heliangelus exortis,Tourmaline Sunangel
heliangelus micraster,Flame-throated Sunangel
heliangelus viola,Purple-throated Sunangel
heliangelus regalis,Royal Sunangel
sephanoides sephaniodes,Green-backed Firecrown
sephanoides fernandensis,Juan Fernandez Firecrown
discosura conversii,Green Thorntail
discosura popelairii,Wire-crested Thorntail
discosura langsdorffi,Black-bellied Thorntail
discosura letitiae,Letitia's Thorntail
discosura longicaudus,Racket-tailed Coquette
lophornis ornatus,Tufted Coquette
lophornis gouldii,Dot-eared Coquette
lophornis magnificus,Frilled Coquette
lophornis brachylophus,Short-crested Coquette
lophornis delattrei,Rufous-crested Coquette
lophornis stictolophus,Spangled Coquette
lophornis chalybeus,Festive Coquette
lophornis verreauxii,Butterfly Coquette
lophornis pavoninus,Peacock Coquette
lophornis helenae,Black-crested Coquette
lophornis adorabilis,White-crested Coquette
phlogophilus hemileucurus,Ecuadorian Piedtail
phlogophilus harterti,Peruvian Piedtail
adelomyia melanogenys,Speckled Hummingbird
aglaiocercus kingii,Long-tailed Sylph
aglaiocercus coelestis,Violet-tailed Sylph
aglaiocercus berlepschi,Venezuelan Sylph
sappho sparganurus,Red-tailed Comet
polyonymus caroli,Bronze-tailed Comet
taphrolesbia griseiventris,Grey-bellied Comet
oreotrochilus estella,Andean Hillstar
oreotrochilus leucopleurus,White-sided Hillstar
oreotrochilus chimborazo,Ecuadorian Hillstar
oreotrochilus cyanolaemus,Blue-throated Hillstar
oreotrochilus stolzmanni,Green-headed Hillstar
oreotrochilus melanogaster,Black-breasted Hillstar
oreotrochilus adela,Wedge-tailed Hillstar
opisthoprora euryptera,Mountain Avocetbill
lesbia victoriae,Black-tailed Trainbearer
lesbia nuna,Green-tailed Trainbearer
ramphomicron dorsale,Black-backed Thornbill
ramphomicron microrhynchum,Purple-backed Thornbill
metallura tyrianthina,Tyrian Metaltail
metallura iracunda,Perija Metaltail
metallura williami,Viridian Metaltail
metallura baroni,Violet-throated Metaltail
metallura odomae,Neblina Metaltail
metallura theresiae,Coppery Metaltail
metallura eupogon,Fiery-throated Metaltail
metallura aeneocauda,Scaled Metaltail
metallura phoebe,Black Metaltail
haplophaedia aureliae,Greenish Puffleg
haplophaedia assimilis,Buff-thighed Puffleg
haplophaedia lugens,Hoary Puffleg
eriocnemis nigrivestis,Black-breasted Puffleg
eriocnemis isabellae,Gorgeted Puffleg
eriocnemis vestita,Glowing Puffleg
eriocnemis derbyi,Black-thighed Puffleg
eriocnemis godini,Turquoise-throated Puffleg
eriocnemis cupreoventris,Coppery-bellied Puffleg
eriocnemis luciani,Sapphire-vented Puffleg
eriocnemis mosquera,Golden-breasted Puffleg
eriocnemis glaucopoides,Blue-capped Puffleg
eriocnemis mirabilis,Colorful Puffleg
eriocnemis aline,Emerald-bellied Puffleg
loddigesia mirabilis,Marvelous Spatuletail
aglaeactis cupripennis,Shining Sunbeam
aglaeactis castelnaudii,White-tufted Sunbeam
aglaeactis aliciae,Purple-backed Sunbeam
aglaeactis pamela,Black-hooded Sunbeam
coeligena coeligena,Bronzy Inca
coeligena wilsoni,Brown Inca
coeligena prunellei,Black Inca
coeligena torquata,Collared Inca
coeligena violifer,Violet-throated Starfrontlet
coeligena iris,Rainbow Starfrontlet
coeligena phalerata,White-tailed Starfrontlet
coeligena orina,Dusky Starfrontlet
coeligena lutetiae,Buff-winged Starfrontlet
coeligena bonapartei,Golden-bellied Starfrontlet
coeligena helianthea,Blue-throated Starfrontlet
lafresnaya lafresnayi,Mountain Velvetbreast
ensifera ensifera,Sword-billed Hummingbird
pterophanes cyanopterus,Great Sapphirewing
boissonneaua flavescens,Buff-tailed Coronet
boissonneaua matthewsii,Chestnut-breasted Coronet
boissonneaua jardini,Velvet-purple Coronet
ocreatus underwoodii,White-booted Racket-tail
ocreatus peruanus,Peruvian Racket-tail
ocreatus addae,Rufous-booted Racket-tail
urochroa bougueri,Rufous-gaped Hillstar
urochroa leucura,Green-backed Hillstar
urosticte benjamini,Purple-bibbed Whitetip
urosticte ruficrissa,Rufous-vented Whitetip
heliodoxa xanthogonys,Velvet-browed Brilliant
heliodoxa gularis,Pink-throated Brilliant
heliodoxa branickii,Rufous-webbed Brilliant
heliodoxa schreibersii,Black-throated Brilliant
heliodoxa aurescens,Gould's Jewelfront
heliodoxa rubinoides,Fawn-breasted Brilliant
heliodoxa jacula,Green-crowned Brilliant
heliodoxa imperatrix,Empress Brilliant
heliodoxa leadbeateri,Violet-fronted Brilliant
heliodoxa rubricauda,Brazilian Ruby
patagona gigas,Giant Hummingbird
sternoclyta cyanopectus,Violet-chested Hummingbird
hylonympha macrocerca,Scissor-tailed Hummingbird
eugenes fulgens,Rivoli's Hummingbird
eugenes spectabilis,Talamanca Hummingbird
panterpe insignis,Fiery-throated Hummingbird
heliomaster longirostris,Long-billed Starthroat
heliomaster constantii,Plain-capped Starthroat
heliomaster squamosus,Stripe-breasted Starthroat
heliomaster furcifer,Blue-tufted Starthroat
lampornis hemileucus,White-bellied Mountaingem
lampornis clemenciae,Blue-throated Mountaingem
lampornis amethystinus,Amethyst-throated Mountaingem
lampornis viridipallens,Green-throated Mountaingem
lampornis sybillae,Green-breasted Mountaingem
lampornis calolaemus,Purple-throated Mountaingem
lampornis cinereicauda,Grey-tailed Mountaingem
lampornis castaneoventris,White-throated Mountaingem
lamprolaima rhami,Garnet-throated Hummingbird
calliphlox amethystina,Amethyst Woodstar
myrtis fanny,Purple-collared Woodstar
rhodopis vesper,Oasis Hummingbird
myrmia micrura,Short-tailed Woodstar
thaumastura cora,Peruvian Sheartail
philodice bryantae,Magenta-throated Woodstar
philodice mitchellii,Purple-throated Woodstar
eulidia yarrellii,Chilean Woodstar
microstilbon burmeisteri,Slender-tailed Woodstar
chaetocercus mulsant,White-bellied Woodstar
chaetocercus bombus,Little Woodstar
chaetocercus heliodor,Gorgeted Woodstar
chaetocercus astreans,Santa Marta Woodstar
chaetocercus berlepschi,Esmeraldas Woodstar
chaetocercus jourdanii,Rufous-shafted Woodstar
tilmatura dupontii,Sparkling-tailed Woodstar
doricha enicura,Slender Sheartail
doricha eliza,Mexican Sheartail
calothorax lucifer,Lucifer Sheartail
calothorax pulcher,Beautiful Sheartail
archilochus alexandri,Black-chinned Hummingbird
archilochus colubris,Ruby-throated Hummingbird
mellisuga minima,Vervain Hummingbird
mellisuga helenae,Bee Hummingbird
nesophlox evelynae,Bahama Woodstar
nesophlox lyrura,Inagua Woodstar
calypte anna,Anna's Hummingbird
calypte costae,Costa's Hummingbird
selasphorus calliope,Calliope Hummingbird
selasphorus rufus,Rufous Hummingbird
selasphorus sasin,Allen's Hummingbird
selasphorus platycercus,Broad-tailed Hummingbird
selasphorus heloisa,Bumblebee Hummingbird
selasphorus ellioti,Wine-throated Hummingbird
selasphorus flammula,Volcano Hummingbird
selasphorus scintilla,Scintillant Hummingbird
selasphorus ardens,Glow-throated Hummingbird
phaeoptila sordida,Dusky Hummingbird
riccordia ricordii,Cuban Emerald
riccordia bracei,Brace's Emerald
riccordia swainsonii,Hispaniolan Emerald
riccordia maugaeus,Puerto Rican Emerald
riccordia bicolor,Blue-headed Hummingbird
riccordia elegans,Gould's Emerald
cynanthus latirostris,Broad-billed Hummingbird
cynanthus lawrencei,Tres Marias Hummingbird
cynanthus doubledayi,Turquoise-crowned Hummingbird
cynanthus auriceps,Golden-crowned Emerald
cynanthus forficatus,Cozumel Emerald
cynanthus canivetii,Canivet's Emerald
chlorostilbon assimilis,Garden Emerald
chlorostilbon melanorhynchus,Western Emerald
chlorostilbon gibsoni,Red-billed Emerald
chlorostilbon mellisugus,Blue-tailed Emerald
chlorostilbon olivaresi,Chiribiquete Emerald
chlorostilbon lucidus,Glittering-bellied Emerald
chlorostilbon russatus,Coppery Emerald
chlorostilbon stenurus,Narrow-tailed Emerald
chlorostilbon alice,Green-tailed Emerald
chlorostilbon poortmani,Short-tailed Emerald
basilinna leucotis,White-eared Hummingbird
basilinna xantusii,Xantus's Hummingbird
pampa curvipennis,Curve-winged Sabrewing
pampa excellens,Long-tailed Sabrewing
pampa pampa,Wedge-tailed Sabrewing
pampa rufa,Rufous Sabrewing
abeillia abeillei,Emerald-chinned Hummingbird
klais guimeti,Violet-headed Hummingbird
orthorhyncus cristatus,Antillean Crested Hummingbird
anthocephala floriceps,Santa Marta Blossomcrown
anthocephala berlepschi,Tolima Blossomcrown
stephanoxis lalandi,Green-crowned Plovercrest
stephanoxis loddigesii,Purple-crowned Plovercrest
campylopterus largipennis,Grey-breasted Sabrewing
campylopterus calcirupicola,Outcrop Sabrewing
campylopterus diamantinensis,Diamantina Sabrewing
campylopterus hyperythrus,Rufous-breasted Sabrewing
campylopterus ensipennis,White-tailed Sabrewing
campylopterus falcatus,Lazuline Sabrewing
campylopterus phainopeplus,Santa Marta Sabrewing
campylopterus hemileucurus,Violet Sabrewing
campylopterus duidae,Buff-breasted Sabrewing
campylopterus villaviscensio,Napo Sabrewing
chalybura urochrysia,Bronze-tailed Plumeleteer
chalybura buffonii,White-vented Plumeleteer
thalurania colombica,Crowned Woodnymph
thalurania furcata,Fork-tailed Woodnymph
thalurania watertonii,Long-tailed Woodnymph
thalurania glaucopis,Violet-capped Woodnymph
microchera albocoronata,Snowcap
microchera cupreiceps,Coppery-headed Emerald
microchera chionura,White-tailed Emerald
goldmania violiceps,Violet-capped Hummingbird
goldmania bella,Pirre Hummingbird
eupherusa ridgwayi,Mexican Woodnymph
eupherusa poliocerca,White-tailed Hummingbird
eupherusa cyanophrys,Oaxaca Hummingbird
eupherusa eximia,Stripe-tailed Hummingbird
eupherusa nigriventris,Black-bellied Hummingbird
phaeochroa cuvierii,Scaly-breasted Hummingbird
leucippus fallax,Buffy Hummingbird
thaumasius baeri,Tumbes Hummingbird
thaumasius taczanowskii,Spot-throated Hummingbird
taphrospilus hypostictus,Many-spotted Hummingbird
eupetomena macroura,Swallow-tailed Hummingbird
eupetomena cirrochloris,Sombre Hummingbird
talaphorus chlorocercus,Olive-spotted Hummingbird
trochilus polytmus,Red-billed Streamertail
trochilus scitulus,Black-billed Streamertail
ramosomyia violiceps,Violet-crowned Hummingbird
ramosomyia viridifrons,Green-fronted Hummingbird
ramosomyia wagneri,Cinnamon-sided Hummingbird
saucerottia cyanocephala,Azure-crowned Hummingbird
saucerottia hoffmanni,Blue-vented Hummingbird
saucerottia beryllina,Berylline Hummingbird
saucerottia cyanura,Blue-tailed Hummingbird
saucerottia edward,Snowy-bellied Hummingbird
saucerottia saucerottei,Steely-vented Hummingbird
saucerottia cyanifrons,Indigo-capped Hummingbird
saucerottia castaneiventris,Chestnut-bellied Hummingbird
saucerottia viridigaster,Green-bellied Hummingbird
saucerottia tobaci,Copper-rumped Hummingbird
amazilia rutila,Cinnamon Hummingbird
amazilia yucatanensis,Buff-bellied Hummingbird
amazilia tzacatl,Rufous-tailed Hummingbird
amazilia luciae,Honduran Emerald
amazilia boucardi,Mangrove Hummingbird
amazilis amazilia,Amazilia Hummingbird
uranomitra franciae,Andean Emerald
chrysuronia goudoti,Shining-green Hummingbird
chrysuronia oenone,Golden-tailed Sapphire
chrysuronia versicolor,Versicolored Emerald
chrysuronia coeruleogularis,Sapphire-throated Hummingbird
chrysuronia lilliae,Sapphire-bellied Hummingbird
chrysuronia humboldtii,Humboldt's Sapphire
chrysuronia grayi,Blue-headed Sapphire
chrysuronia brevirostris,White-chested Emerald
chrysuronia leucogaster,Plain-bellied Emerald
leucochloris albicollis,White-throated Hummingbird
chionomesa fimbriata,Glittering-throated Emerald
chionomesa lactea,Sapphire-spangled Emerald
hylocharis sapphirina,Rufous-throated Sapphire
hylocharis chrysura,Gilded Sapphire
elliotomyia chionogaster,White-bellied Hummingbird
elliotomyia viridicauda,Green-and-white Hummingbird
polyerata amabilis,Blue-chested Hummingbird
polyerata decora,Charming Hummingbird
polyerata rosenbergi,Purple-chested Hummingbird
chlorestes candida,White-bellied Emerald
chlorestes eliciae,Blue-throated Sapphire
chlorestes cyanus,White-chinned Sapphire
chlorestes julie,Violet-bellied Hummingbird
chlorestes notata,Blue-chinned Sapphire
corythaeola cristata,Great Blue Turaco
crinifer personatus,Bare-faced Go-away-bird
crinifer concolor,Grey Go-away-bird
crinifer leucogaster,White-bellied Go-away-bird
crinifer piscator,Western Plantain-eater
